sentiment_polarity,stock_mentions,post_hour,num_comments
0.1038095238095238,0,16,15
0.0,0,20,173
-0.2,0,2,172
0.0333000333000333,1,14,1
-0.008353174603174605,1,20,44
0.2,0,3,155
0.0,0,13,203
0.0625,0,18,11
0.0,0,20,23
0.07772435897435896,8,14,2
0.05697601010101009,0,0,19
0.10154127481713689,0,10,6
-0.0625,0,16,10
0.02071428571428571,0,0,28
0.11012767425810902,0,16,8
0.20315734989648032,9,23,3
0.1844949494949495,2,16,25
0.5,0,15,44
0.0,0,19,31
0.2470982142857143,1,19,6
0.13578282828282828,0,20,11
-0.004048701298701302,2,1,238
0.0,0,18,27
0.09953703703703703,7,14,3
0.0,0,16,27
0.0,0,17,54
0.08666666666666667,0,12,556
0.0,0,18,3
0.12187500000000001,0,19,132
0.07708333333333332,0,0,90
0.06904761904761905,2,21,17
0.12746913580246916,0,15,60
-0.25,0,18,4
-0.014062499999999999,2,19,0
0.0,0,23,17
0.09341856060606062,0,19,42
0.15000000000000002,0,3,65
-0.3,0,22,583
0.14088744588744587,0,10,28
-0.08425925925925926,1,19,53
0.025,0,18,8
0.0,0,18,8
0.14551357733175915,2,2,22
0.08283577533577534,2,16,5
0.11134108946608946,0,15,5
0.018719211822660096,2,18,5
0.07254901960784312,6,14,20
-0.07777777777777778,0,19,21
0.01648550724637682,3,22,31
0.183921568627451,2,14,10
0.10154127481713689,0,10,7
0.10533799533799534,2,16,6
0.0,0,15,337
0.049260221260221254,2,0,1
0.07892857142857142,1,2,44
0.433888888888889,5,15,4
-0.03240740740740741,0,22,2
-0.07803030303030303,1,18,6
0.0,1,13,7
0.17732082732082732,0,3,15
0.07142857142857147,2,20,67
0.18403880070546738,3,21,11
0.0,0,14,300
0.10154127481713689,0,10,2
0.14545454545454545,2,18,8
-0.11388888888888893,0,20,27
0.10416666666666666,0,22,27
0.0935897435897436,0,11,0
0.2664242424242424,7,16,6
0.1438988095238095,0,21,11
0.050686274509803925,0,21,2
0.0,1,20,180
0.19999999999999998,0,9,6
0.12199074074074072,7,14,15
0.15512820512820513,2,1,38
0.22513175230566543,0,11,74
0.10154127481713689,0,10,5
0.5178571428571428,0,15,86
0.10154127481713689,0,10,2
0.04285714285714286,0,4,43
0.18321693121693125,2,16,91
0.1555013528138528,0,7,3
0.09999999999999996,6,14,4
0.04791666666666666,0,19,6
0.23272727272727275,0,0,26
-0.16865079365079363,0,16,4
0.13333333333333333,1,9,13
0.03765151515151515,3,17,140
0.04468438538205981,1,4,152
0.19999999999999998,1,16,4
0.2633441558441558,0,13,30
0.017500000000000016,2,1,11
0.1733333333333333,0,19,3
0.10154127481713689,0,10,2
0.0,0,23,15
0.019444444444444462,2,1,8
0.11828869047619048,1,19,16
0.3,0,19,117
0.10154127481713689,0,10,4
0.0,0,15,26
0.03958333333333333,1,23,72
-0.3125,1,0,33
0.04999999999999999,0,23,11
0.1125,0,23,99
0.09229910714285713,1,5,47
0.10154127481713689,0,10,7
0.026428571428571423,0,20,23
0.2857142857142857,1,20,8
0.0,0,18,0
-0.050391414141414105,0,20,13
0.078125,0,15,32
0.06805154721821388,1,1,0
0.6000000000000001,0,0,9
0.8,0,22,13
0.0,0,15,6
0.38571428571428573,0,2,6
0.1547979797979798,2,21,13
-0.03811728395061728,1,7,15
0.05025252525252524,0,18,16
0.125,0,12,3
0.29000000000000004,0,6,11
0.06075436908770242,3,6,5
-0.140625,1,13,28
0.13363636363636364,0,11,19
0.061489898989899004,0,21,6
0.13039772727272728,1,17,88
0.07129629629629627,2,19,40
0.10154127481713689,0,10,1
0.1,0,13,261
0.125,1,23,11
0.1,0,20,14
0.0,2,17,183
0.14088744588744587,0,10,32
0.028571428571428577,0,4,10
0.056944444444444436,1,5,1
0.0,0,23,523
0.13698893698893697,0,17,66
0.1194749694749695,4,13,1
0.08019102990033225,0,7,117
0.08416666666666667,0,21,4
0.0,0,4,30
0.1388888888888889,2,17,126
0.0,0,0,12
0.17792207792207793,0,4,90
0.5,0,22,39
0.10416666666666667,0,0,5
0.11122448979591837,1,20,154
-0.10185185185185186,0,19,8
0.1222222222222222,0,19,6
0.175,0,2,31
0.2335978835978836,0,18,65
-0.11388888888888891,0,19,30
0.0579782871449538,1,1,14
0.14166666666666666,0,18,48
0.3142857142857143,1,15,123
0.0736111111111111,0,19,3
0.5,0,21,12
0.12272727272727273,0,1,7
0.1388888888888889,0,7,7
-0.013541666666666669,4,22,10
0.0,0,16,9
0.2714285714285714,0,4,8
0.1712121212121212,2,21,2
0.10154127481713689,0,10,11
0.04444444444444445,0,13,146
0.18321693121693125,2,16,32
-0.005555555555555545,2,22,56
0.09234997029114676,2,16,20
0.21666666666666667,0,1,5
0.25357142857142856,0,0,3
0.28775510204081634,2,22,23
0.42,0,7,4
0.25238095238095243,1,19,17
0.1259259259259259,0,17,1
0.1489917100443416,0,7,13
0.0,0,21,206
0.055656565656565696,1,21,14
0.0,1,15,5
0.15645161290322582,1,15,25
0.12333333333333334,1,18,386
0.10606060606060606,2,11,14
0.21581632653061225,0,4,8
0.1296875,0,23,214
0.018989898989898987,0,22,2
0.35,0,21,11
-0.06413690476190476,0,0,30
0.25525252525252523,1,8,5
0.31,0,20,16
0.11785714285714285,0,22,13
-0.16874999999999998,0,4,4
0.10154127481713689,0,10,1
0.0,0,20,5
-0.0016607877718988833,1,5,11
0.0,0,4,25
0.1321604938271605,0,14,8
0.7,0,13,4
-0.21874999999999997,0,21,76
-0.20000000000000004,0,16,37
0.12307466196355084,0,4,75
0.16755411255411254,0,23,3
0.24285714285714285,0,15,17
0.3214285714285714,0,20,17
0.029761904761904767,4,5,6
0.012335858585858582,8,23,38
0.2,0,15,8
0.01029411764705882,5,14,26
0.2013888888888889,0,18,15
-0.06663059163059164,1,4,5
0.1314153439153439,4,19,107
0.0989010989010989,0,3,10
0.1,0,20,10
0.22499999999999998,0,20,6670
0.134297052154195,3,19,1
0.11353801169590644,1,9,2
-0.00833333333333334,1,17,8
0.13229166666666667,1,10,2
0.12663398692810457,0,20,25
0.0,0,20,1
-0.17395833333333333,1,21,42
0.10909090909090909,0,10,7
0.12040816326530612,1,21,5
0.2208333333333333,0,13,979
0.2615442176870748,6,0,150
0.10622710622710624,2,3,61
0.09603174603174604,4,2,76
0.15189102564102566,0,17,12
0.0,0,20,52
0.05378787878787878,7,14,4
0.06851152214788579,6,15,34
0.2,0,13,3
0.05,0,15,18
0.09,0,23,103
0.16383333333333333,0,17,36
0.06757575757575758,1,17,7
0.014285714285714287,0,15,532
0.10154127481713689,0,10,1
0.14665071770334928,2,18,12
-0.2,1,2,32
0.2333333333333333,0,13,4
-0.15555555555555556,0,13,89